"ORG_SUPER_BUSCA","ORG_SUPER_PADR_NOME","ORG_PADR_BUSCA","ORG_PADR_NOME","ORG_PADR_SIGLA","ORG_PADR_CODIGO","ORG_UNIF_BUSCA","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORG_PADR_ID","ORGAO_UNIFICADO_DT_ATUALIZACAO"
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",COMISSÃO NACIONAL DE ENERGIA NUCLEAR [CNEN] [223],COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,223,COMISSAO NACIONAL DE ENERGIA NUCLEAR [CNEN] [40301] [SIAPE],212,SIAPE,40301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,CNEN,NÃO INFORMADO,223,23,2018-10-18 18:35:11.517
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",AGÊNCIA ESPACIAL BRASILEIRA [AEB] [4243],AGÊNCIA ESPACIAL BRASILEIRA,AEB,4243,AGENCIA ESPACIAL BRASILEIRA [AEB] [21300] [SIAPE],283,SIAPE,21300,AGENCIA ESPACIAL BRASILEIRA,AEB,NÃO INFORMADO,4243,110,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO CASA DE RUI BARBOSA [FCRB] [261],FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,261,Fundação Casa de Rui Barbosa [FCRB] [17] [SIORG],177,SIORG,17,Fundação Casa de Rui Barbosa,FCRB,ATIVO,261,17,2025-02-04 17:00:01.240
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO CULTURAL PALMARES [FCP] [1782],FUNDAÇÃO CULTURAL PALMARES,FCP,1782,Fundação Cultural Palmares [FCP] [91] [SIORG],178,SIORG,91,Fundação Cultural Palmares,FCP,ATIVO,1782,91,2025-02-04 17:00:01.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINC,308821,MINISTERIO DA CULTURA [MINC] [40107] [SIAPE],329,SIAPE,40107,MINISTERIO DA CULTURA,MINC,NÃO INFORMADO,308821,208,2020-07-10 15:11:11.537
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,INSTITUTO BRASILEIRO DE MUSEUS [IBRAM] [100584],INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,100584,INSTITUTO BRASILEIRO DE MUSEUS [IBRAM] [42207] [SIAFI],460,SIAFI,42207,INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,ATIVO,100584,126,2020-08-10 19:22:48.540
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,INSTITUTO BRASILEIRO DE MUSEUS [IBRAM] [100584],INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,100584,Instituto Brasileiro de Museus [IBRAM] [126] [SIORG],193,SIORG,126,Instituto Brasileiro de Museus,IBRAM,ATIVO,100584,126,2025-02-04 17:00:05.520
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO NACIONAL DE ARTES [FUNARTE] [2330],FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,2330,INSTITUTO BRASILEIRO DE ARTE E CULTURA [FUNARTE] [24203] [SIAPE],435,SIAPE,24203,INSTITUTO BRASILEIRO DE ARTE E CULTURA,FUNARTE,NÃO INFORMADO,2330,105,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,AGÊNCIA NACIONAL DO CINEMA [ANCINE] [57682],AGÊNCIA NACIONAL DO CINEMA,ANCINE,57682,AGENCIA NACIONAL DO CINEMA [ANCINE] [20203] [SIAFI],432,SIAFI,20203,AGENCIA NACIONAL DO CINEMA,ANCINE,ATIVO,57682,152,2020-08-10 19:22:48.540
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO CULTURAL PALMARES [FCP] [1782],FUNDAÇÃO CULTURAL PALMARES,FCP,1782,FUNDACAO CULTURAL PALMARES [FCP] [40408] [SIAPE],484,SIAPE,40408,FUNDACAO CULTURAL PALMARES,FCP,NÃO INFORMADO,1782,91,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,INSTITUTO BRASILEIRO DE MUSEUS [IBRAM] [100584],INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,100584,IBRAM [IBRAM] [42207] [SIAPE],488,SIAPE,42207,IBRAM,IBRAM,NÃO INFORMADO,100584,126,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO CULTURAL PALMARES [FCP] [1782],FUNDAÇÃO CULTURAL PALMARES,FCP,1782,FUNDACAO CULTURAL PALMARES [FCP] [20408] [SIAFI],501,SIAFI,20408,FUNDACAO CULTURAL PALMARES,FCP,ATIVO,1782,91,2020-08-10 19:22:48.540
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO NACIONAL DE ARTES [FUNARTE] [2330],FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,2330,FUNDACAO NACIONAL DE ARTES [FUNARTE] [20412] [SIAFI],288,SIAFI,20412,FUNDACAO NACIONAL DE ARTES,FUNARTE,ATIVO,2330,105,2020-08-10 19:22:48.540
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO BIBLIOTECA NACIONAL [FBN] [984],FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,984,FUNDACAO BIBLIOTECA NACIONAL [FBN] [24205] [SIAPE],285,SIAPE,24205,FUNDACAO BIBLIOTECA NACIONAL,FBN,NÃO INFORMADO,984,87,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINC,308821,MINISTERIO DA CULTURA [MINC] [42000] [SIAFI],284,SIAFI,42000,MINISTERIO DA CULTURA,MINC,ATIVO,1926,208,2020-08-10 19:22:48.540
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINC,308821,MINISTERIO DA CULTURA [MINC] [54100] [SIAPE],564,SIAPE,54100,MINISTERIO DA CULTURA,MINC,,308821,208,2025-02-05 20:41:33.893
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,AGÊNCIA NACIONAL DO CINEMA [ANCINE] [57682],AGÊNCIA NACIONAL DO CINEMA,ANCINE,57682,ANCINE [ANCINE] [20224] [SIAPE],282,SIAPE,20224,ANCINE,ANCINE,NÃO INFORMADO,57682,152,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL [IPHAN] [2045],INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,2045,INSTITUTO DO PATR.HIST.E ART. NACIONAL [IPHAN] [24204] [SIAPE],385,SIAPE,24204,INSTITUTO DO PATR.HIST.E ART. NACIONAL,IPHAN,NÃO INFORMADO,2045,99,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,AGÊNCIA NACIONAL DO CINEMA [ANCINE] [57682],AGÊNCIA NACIONAL DO CINEMA,ANCINE,57682,Agência Nacional do Cinema [ANCINE] [152] [SIORG],27,SIORG,152,Agência Nacional do Cinema,ANCINE,ATIVO,57682,152,2025-02-04 16:59:22.533
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO NACIONAL DE ARTES [FUNARTE] [2330],FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,2330,Fundação Nacional de Artes [FUNARTE] [105] [SIORG],32,SIORG,105,Fundação Nacional de Artes,FUNARTE,ATIVO,2330,105,2025-02-04 16:59:23.827
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL [IPHAN] [2045],INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,2045,Instituto do Patrimônio Histórico e Artístico Nacional [IPHAN] [99] [SIORG],33,SIORG,99,Instituto do Patrimônio Histórico e Artístico Nacional,IPHAN,ATIVO,2045,99,2025-02-04 16:59:24.053
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO CASA DE RUI BARBOSA [FCRB] [261],FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,261,FUNDACAO CASA DE RUI BARBOSA [FCRB] [40403] [SIAPE],374,SIAPE,40403,FUNDACAO CASA DE RUI BARBOSA,FCRB,NÃO INFORMADO,261,17,2018-10-18 18:35:11.517
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,FUNDAÇÃO BIBLIOTECA NACIONAL [FBN] [984],FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,984,Fundação Biblioteca Nacional [FBN] [87] [SIORG],34,SIORG,87,Fundação Biblioteca Nacional,FBN,ATIVO,984,87,2025-02-04 16:59:24.287
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL [IPHAN] [2045],INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,2045,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL [IPHAN] [20411] [SIAFI],398,SIAFI,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,IPHAN,ATIVO,2045,99,2020-08-10 19:22:48.540
MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINISTÉRIO DA CULTURA [MINC] [308821],MINISTÉRIO DA CULTURA,MINC,308821,Ministério da Cultura [MINC] [208] [SIORG],231,SIORG,208,Ministério da Cultura,MINC,ATIVO,308821,208,2025-02-04 17:00:14.737
